subj,trg,trial,id,block,snr,cond,pa,pd,pa_pfe,pd_pfe,fd_int,fd,sgd_int,sgd_i,sgd
5,21,3,25,2,1,2,2450.766,7147.824,578.5834,939.7111,0.397062,0.403179,1.135369,1.129492,1.121438
5,23,4,26,2,3,2,2087.039,6586.932,249.7588,426.0307,0.3281103,0.3274226,1.172453,1.156775,1.174552
5,24,5,27,2,4,2,2183.165,6743.728,404.3895,686.9391,0.3264034,0.3303302,1.242339,1.231772,1.229363
5,25,6,28,2,5,2,1904.594,6275.772,87.84852,154.0995,0.3417346,0.3416559,1.233665,1.23281,1.232877
5,24,7,29,2,4,2,1754.942,6037.485,17.10178,48.52745,0.2885091,0.3061651,1.24575,1.220459,1.185092
5,21,8,30,2,1,2,1827.793,6167.129,90.42732,189.6772,0.241456,0.2477073,1.31113,1.303447,1.292676
5,22,9,31,2,2,2,1449.325,5476.932,-319.363,-528.5934,0.2612646,0.2566178,1.37578,1.37264,1.379255
5,25,10,32,2,5,2,1883.77,6260.109,106.5359,240.3874,0.2736091,0.2862886,1.582692,1.581292,1.558735
5,23,11,33,2,3,2,1877.728,6244.345,96.89135,190.6628,0.2343166,0.2430429,1.520313,1.512754,1.509914
5,24,12,34,2,4,2,1537.622,5638.119,-197.5633,-328.0914,0.1918473,0.1966091,1.608952,1.598401,1.616347
5,25,13,35,2,5,2,1788.32,6098.628,-19.69281,9.073244,0.207749,0.2102665,1.503429,1.50231,1.489581
5,23,14,36,2,3,2,1695.752,5935.056,-117.9583,-169.3322,0.2328286,0.2355288,1.445575,1.44117,1.441759
5,21,15,37,2,1,2,1522.865,5610.971,-268.4581,-449.7195,0.1579804,0.142407,1.498692,1.491866,1.507213
5,22,16,38,2,2,2,1394.067,5329.435,-331.7726,-610.3674,0.1330567,0.1417256,1.588895,1.528738,1.532984
5,23,17,39,2,3,2,1266.51,5113.84,-476.1848,-846.792,0.1433103,0.136113,1.678438,1.670089,1.664784
5,24,18,40,2,4,2,1299.017,5174.085,-443.8565,-803.8759,0.09651829,0.09233359,1.713691,1.700533,1.715958
5,22,19,41,2,2,2,1337.578,5242.748,-347.8555,-623.1531,0.1172866,0.1210058,1.671104,1.653383,1.642168
5,21,20,42,2,1,2,1469.254,5514.442,-263.2556,-440.9724,0.1549076,0.1365574,1.565768,1.565773,1.590099
5,25,21,43,2,5,2,1498.076,5569.517,-272.8128,-460.055,0.17396,0.1776062,1.450595,1.431007,1.363713
5,25,22,44,2,5,2,1241.48,5022.496,-548.5173,-1025.953,0.107902,0.1003583,1.628634,1.603095,1.63688
6,15,1,1,1,5,1,1582.382,5740.498,251.4533,480.4805,0.5056431,0.5185356,1.287371,1.284207,1.302026
6,13,2,2,1,3,1,1513.407,5616.175,185.5021,362.1229,0.4806571,0.4806571,1.143288,1.143288,1.143288
6,12,3,3,1,2,1,1474.034,5537.281,150.2133,291.2398,0.4083979,0.4181062,1.189934,1.19154,1.137664
6,11,4,4,1,1,1,1512.133,5613.604,179.0841,349.7646,0.5854724,0.6167107,1.017831,1.002121,0.9500409
6,15,5,5,1,5,1,1262.503,5127.498,-59.76638,-115.4173,0.3954501,0.4043193,1.333822,1.332483,1.337149
6,14,6,6,1,4,1,1248.535,5100.378,-57.63012,-111.0945,0.4003491,0.3916944,1.373483,1.372748,1.362141
6,15,7,7,1,5,1,1199.316,4999.873,-91.59029,-181.3068,0.2840157,0.2917112,1.612233,1.605229,1.600202
6,12,8,8,1,2,1,1219.484,5041.03,-98.22315,-192.4939,0.3990706,0.4048266,1.47472,1.473975,1.476645
6,13,9,9,1,3,1,1160.979,4919.345,-131.5055,-264.6373,0.3049506,0.2957118,1.597272,1.595318,1.630121
6,14,10,10,1,4,1,1119.386,4830.546,-161.1631,-329.6424,0.360935,0.3662696,1.52924,1.527466,1.511334
6,11,11,11,1,1,1,1223.105,5047.783,-64.6483,-126.7676,0.3395186,0.3429274,1.417271,1.410607,1.410648
6,13,12,12,1,3,1,1137.246,4867.983,-124.8704,-256.0766,0.3157996,0.3159322,1.450949,1.441019,1.463672
6,12,13,13,1,2,1,1213.362,5029.869,-88.35857,-172.5756,0.2926294,0.2958322,1.430963,1.431327,1.42273
6,14,14,14,1,4,1,1292.493,5189.436,-3.298875,-1.440311,0.370457,0.3684507,1.392931,1.391195,1.392796
6,15,15,15,1,5,1,1320.045,5244.764,44.23486,93.40348,0.3129429,0.3161585,1.494937,1.49458,1.498936
6,11,16,16,1,1,1,1434.172,5467.462,107.4023,215.5544,0.584681,0.5971137,0.9829867,0.968597,0.9384937
6,12,17,17,1,2,1,1268.472,5139.917,-32.81145,-61.38819,0.3132358,0.3205929,1.453373,1.453192,1.435431
6,14,18,18,1,4,1,1297.8,5200.255,-14.62289,-23.25772,0.251164,0.2509958,1.563781,1.562623,1.560095
6,13,19,19,1,3,1,1265.036,5135.438,-4.277349,-2.506089,0.2932117,0.3046142,1.529479,1.517853,1.511741
6,11,20,20,1,1,1,1339.742,5284.86,22.84562,52.59697,0.4619371,0.4636075,1.186397,1.173142,1.172095
